No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,is_m31_subgroup
83,Andromeda XIV,00h51m34.9999s,+29d41m48.998s,12.895833,29.696944,G,-480.5673102,-0.001603,UUN,98,0,1,23,8,0,2,1,0,0,1
84,Andromeda XVI,00h59m29.8000s,+32d22m36.001s,14.874167,32.376667,G,-367.2457611,-0.001225,UUN,105,0,13,27,8,0,16,2,0,0,1
85,Andromeda XV,01h14m18.7000s,+38d07m03.000s,18.577917,38.1175,G,-322.8764773,-0.001077,UUN,98,0,13,25,7,0,8,2,0,0,1
86,Andromeda XVII,00h37m07.0000s,+44d19m19.999s,9.279167,44.322222,G,-259.9200611,-0.000867,SUN,79,0,2,21,6,0,3,2,0,0,1
87,Leo V,11h31m09.6000s,+02d13m12.000s,172.79,2.22,G,172.1,0.0005740638078,SUN,135,0,1,26,9,0,7,5,0,0,
88,Andromeda XVIII,00h02m14.5000s,+45d05m20.000s,0.560417,45.088889,G,-332.1700435,-0.001108,UUN,84,0,1,26,10,0,4,1,0,0,1
89,Andromeda XIX,00h19m32.1000s,+35d02m36.999s,4.88375,35.043611,G,-111.2230019,-0.000371,UUN,95,0,1,20,7,0,3,1,0,0,1
90,Andromeda XX,00h07m30.7000s,+35d07m55.999s,1.877917,35.132222,G,-456.2841211,-0.001522,UUN,59,0,1,21,6,0,2,1,0,0,1
91,Bootes III,13h57m12.0000s,+26d48m00.000s,209.3,26.8,G,197.1,0.0006574548316,UUN,58,0,1,11,4,0,3,2,0,0,
92,SEGUE 2,02h19m16.0000s,+20d10m31.000s,34.816667,20.175278,G,-39.27281002,-0.0001309999934,UUN,142,0,1,21,8,0,5,1,0,0,
93,Andromeda XXI,23h54m47.7000s,+42d28m14.998s,358.69875,42.470833,G,-362.7488742,-0.00121,UUN,86,0,1,24,8,0,3,1,0,0,1
94,Andromeda XXII,01h27m40.0000s,+28d05m25.000s,21.916667,28.090278,G,-128.9107569,-0.00043,UUN,68,0,1,24,7,0,3,2,0,0,1
95,PISCES II,22h58m31.0000s,+05d57m09.000s,344.629167,5.9525,G,-226,-0.0007538548551,SUN,90,0,1,25,4,0,4,4,0,0,
96,Andromeda XXIII,01h29m21.7999s,+38d43m08.000s,22.340833,38.718889,G,-242.831891,-0.00081,UUN,68,0,1,19,6,0,3,0,0,0,1
97,Andromeda XXIV,01h18m30.0000s,+46d21m57.999s,19.625,46.366111,G,-129.2105494,-0.000431,SUN,51,0,1,18,6,0,2,0,0,0,1
98,Andromeda XXV,00h30m08.8999s,+46d51m06.998s,7.537083,46.851944,G,-107.9252849,-0.00036,UUN,79,0,1,21,7,0,4,0,0,0,1
99,Andromeda XXVI,00h23m45.6000s,+47d54m57.999s,5.94,47.916111,G,-260.519646,-0.000869,UUN,58,0,1,21,7,0,3,0,0,0,1
100,Andromeda XXVII,00h37m27.1000s,+45d23m12.998s,9.362917,45.386944,G,-534.8297451,-0.001784,UUN,53,0,1,18,7,0,8,0,0,0,1
101,Andromeda XXVIII,22h32m41.2000s,+31d12m57.999s,338.171667,31.216111,G,-331,-0.001104097155,SUN,60,0,1,19,4,0,7,0,0,0,1
102,Andromeda XXIX,23h58m55.6000s,+30d45m20.001s,359.731667,30.755556,G,-194,-0.0006471143447,SUN,44,0,1,16,4,0,2,0,0,0,1
,,,,,,,,,,,,,,,,,,,,30
